time,entity,timestamp,vibration_min,vibration_max,vibration_mean,vibration_median,vibration_stddev,belt_speed_min,belt_speed_max,belt_speed_mean,belt_speed_median,belt_speed_stddev,good_count,reject_count,reject_count_1m,reject_goal,good_count_1m,record_purpose
60000,Assy_Conveyor,4/23/2019 1:39,0.90000087,1.088327527,0.999703564,1.009619355,0.071942683,2476.072021,2524.885742,2500.605835,2497.525635,18.02492135,9296,16859,0,0,17,training
120000,Assy_Conveyor,4/23/2019 1:40,0.90000087,1.088327527,0.999580419,1.009619355,0.073513652,2476.072021,2524.885742,2501.157084,2497.525635,18.17626359,9314,16859,0,0,18,training
180000,Assy_Conveyor,4/23/2019 1:41,0.90000087,1.098068357,1.002203332,1.009619355,0.072396844,2475.496582,2524.870361,2500.006084,2497.525635,17.96024643,9330,16859,0,0,16,training
240000,Assy_Conveyor,4/23/2019 1:42,0.90000087,1.088717222,1.000698253,1.009619355,0.072405852,2476.072021,2524.870361,2500.369277,2497.525635,17.55111737,9348,16859,0,0,18,training
300000,Assy_Conveyor,4/23/2019 1:43,0.900224507,1.099956989,1.00095527,1.015746176,0.071614892,2475.003662,2524.47168,2500.170781,2502.274048,17.69930088,9365,16859,0,0,17,training
360000,Assy_Conveyor,4/23/2019 1:44,0.900014043,1.099575639,0.997620873,1.003765017,0.072020742,2475.019043,2524.983643,2500.438938,2501.094971,17.73341969,9382,16859,0,0,17,training
420000,Assy_Conveyor,4/23/2019 1:45,0.900316536,1.09997344,1.003047545,1.019560337,0.073350498,2475.000732,2524.991455,2499.836895,2500.234985,17.89847604,9399,16859,0,0,17,training
480000,Assy_Conveyor,4/23/2019 1:46,0.900056124,1.099631548,1.00344767,1.013364077,0.071395957,2476.118164,2524.998535,2500.884254,2497.369385,17.65329297,9415,16859,0,0,16,training
540000,Assy_Conveyor,4/23/2019 1:47,0.900106132,1.09999454,1.002231397,1.008673549,0.071645494,2475.01123,2524.948486,2498.946791,2498.979248,17.79177733,9432,16859,0,0,17,training
600000,Assy_Conveyor,4/23/2019 1:48,0.900014043,1.09999907,1.0017548,1.006697059,0.078060928,2475.038086,2524.931396,2499.570881,2501.086914,17.8283005,9449,16859,0,0,17,training
660000,Assy_Conveyor,4/23/2019 1:49,0.901072741,1.099746585,0.997946372,0.995812774,0.070888017,2475.01123,2524.974365,2500.521987,2502.273193,17.97982349,9467,16859,0,0,18,training
720000,Assy_Conveyor,4/23/2019 1:50,0.90002656,1.099515915,0.997607601,1.001675487,0.070099402,2475.068359,2524.877197,2501.596003,2503.012207,17.99451738,9484,16859,0,0,17,training
780000,Assy_Conveyor,4/23/2019 1:51,0.900063396,1.099943876,0.999211142,0.988506258,0.072162192,2475.001465,2524.98877,2500.170867,2502.630615,17.62887384,9501,16859,0,0,17,training
840000,Assy_Conveyor,4/23/2019 1:52,0.900484085,1.099920869,1.002546281,1.000209451,0.074357187,2475.107666,2524.931396,2499.076116,2497.72644,17.91107922,9517,16859,0,0,16,training
